time(s)	cellId	rnti	lcid	packetSize
0.401356	2	1	3	1030
0.401362	2	1	3	1030
0.401368	2	1	3	1030
0.401374	2	1	3	1030
0.40138	2	1	3	1030
0.401386	2	1	3	1030
0.401392	2	1	3	1030
0.401398	2	1	3	1030
0.401404	2	1	3	1030
0.40141	2	1	3	1030
0.401416	2	1	3	1030
0.401422	2	1	3	1030
0.401428	2	1	3	1030
0.401434	2	1	3	1030
0.40144	2	1	3	1030
0.401446	2	1	3	1030
0.401452	2	1	3	1030
0.401458	2	1	3	1030
0.401464	2	1	3	1030
0.40147	2	1	3	1030
0.401476	2	1	3	1030
0.401482	2	1	3	1030
0.401488	2	1	3	1030
0.401494	2	1	3	1030
0.4015	2	1	3	1030
0.401506	2	1	3	1030
0.401512	2	1	3	1030
0.401518	2	1	3	1030
0.401524	2	1	3	1030
0.40153	2	1	3	1030
0.401536	2	1	3	1030
0.401542	2	1	3	1030
0.401548	2	1	3	1030
0.401554	2	1	3	1030
0.40156	2	1	3	1030
0.401566	2	1	3	1030
0.401572	2	1	3	1030
0.401578	2	1	3	1030
0.401584	2	1	3	1030
0.40159	2	1	3	1030
0.401596	2	1	3	1030
0.401602	2	1	3	1030
0.401608	2	1	3	1030
0.401614	2	1	3	1030
0.40162	2	1	3	1030
0.401626	2	1	3	1030
0.401632	2	1	3	1030
0.401638	2	1	3	1030
0.401644	2	1	3	1030
0.40165	2	1	3	1030
0.401656	2	1	3	1030
0.401662	2	1	3	1030
0.401668	2	1	3	1030
0.401674	2	1	3	1030
0.40168	2	1	3	1030
0.401686	2	1	3	1030
0.401692	2	1	3	1030
0.401698	2	1	3	1030
0.401704	2	1	3	1030
0.40171	2	1	3	1030
0.401716	2	1	3	1030
0.401722	2	1	3	1030
0.401728	2	1	3	1030
0.401734	2	1	3	1030
0.40174	2	1	3	1030
0.401746	2	1	3	1030
0.401752	2	1	3	1030
0.401758	2	1	3	1030
0.401764	2	1	3	1030
0.40177	2	1	3	1030
0.401776	2	1	3	1030
0.401782	2	1	3	1030
0.401788	2	1	3	1030
0.401794	2	1	3	1030
0.4018	2	1	3	1030
0.401806	2	1	3	1030
0.401812	2	1	3	1030
0.401818	2	1	3	1030
0.401824	2	1	3	1030
0.40183	2	1	3	1030
0.401836	2	1	3	1030
0.401842	2	1	3	1030
0.401848	2	1	3	1030
0.401854	2	1	3	1030
0.40186	2	1	3	1030
0.401866	2	1	3	1030
0.401872	2	1	3	1030
0.401878	2	1	3	1030
0.401884	2	1	3	1030
0.40189	2	1	3	1030
0.401896	2	1	3	1030
0.401902	2	1	3	1030
0.401908	2	1	3	1030
0.401914	2	1	3	1030
0.40192	2	1	3	1030
0.401926	2	1	3	1030
0.401932	2	1	3	1030
0.401938	2	1	3	1030
0.401944	2	1	3	1030
0.40195	2	1	3	1030
0.401956	2	1	3	1030
0.401962	2	1	3	1030
0.401968	2	1	3	1030
0.401974	2	1	3	1030
0.40198	2	1	3	1030
0.401986	2	1	3	1030
0.401992	2	1	3	1030
0.401998	2	1	3	1030
0.402004	2	1	3	1030
0.40201	2	1	3	1030
0.402016	2	1	3	1030
0.402022	2	1	3	1030
0.402028	2	1	3	1030
0.402034	2	1	3	1030
0.40204	2	1	3	1030
0.402046	2	1	3	1030
0.402052	2	1	3	1030
0.402058	2	1	3	1030
0.402064	2	1	3	1030
0.40207	2	1	3	1030
0.402076	2	1	3	1030
0.402082	2	1	3	1030
0.402088	2	1	3	1030
0.402094	2	1	3	1030
0.4021	2	1	3	1030
0.402106	2	1	3	1030
0.402112	2	1	3	1030
0.402118	2	1	3	1030
0.402124	2	1	3	1030
0.40213	2	1	3	1030
0.402136	2	1	3	1030
0.402142	2	1	3	1030
0.402148	2	1	3	1030
0.402154	2	1	3	1030
0.40216	2	1	3	1030
0.402166	2	1	3	1030
0.402172	2	1	3	1030
0.402178	2	1	3	1030
0.402184	2	1	3	1030
0.40219	2	1	3	1030
0.402196	2	1	3	1030
0.402202	2	1	3	1030
0.402208	2	1	3	1030
0.402214	2	1	3	1030
0.40222	2	1	3	1030
0.402226	2	1	3	1030
0.402232	2	1	3	1030
0.402238	2	1	3	1030
0.402244	2	1	3	1030
0.40225	2	1	3	1030
0.402256	2	1	3	1030
0.402262	2	1	3	1030
0.402268	2	1	3	1030
0.402274	2	1	3	1030
0.40228	2	1	3	1030
0.402286	2	1	3	1030
0.402292	2	1	3	1030
0.402298	2	1	3	1030
0.402304	2	1	3	1030
0.40231	2	1	3	1030
0.402316	2	1	3	1030
0.402322	2	1	3	1030
0.402328	2	1	3	1030
0.402334	2	1	3	1030
0.40234	2	1	3	1030
0.402346	2	1	3	1030
0.402352	2	1	3	1030
0.402358	2	1	3	1030
0.402364	2	1	3	1030
0.40237	2	1	3	1030
0.402376	2	1	3	1030
0.402382	2	1	3	1030
0.402388	2	1	3	1030
0.402394	2	1	3	1030
0.4024	2	1	3	1030
0.402406	2	1	3	1030
0.402412	2	1	3	1030
0.402418	2	1	3	1030
0.402424	2	1	3	1030
0.40243	2	1	3	1030
0.402436	2	1	3	1030
0.402442	2	1	3	1030
0.402448	2	1	3	1030
0.402454	2	1	3	1030
0.40246	2	1	3	1030
0.402466	2	1	3	1030
0.402472	2	1	3	1030
0.402478	2	1	3	1030
0.402484	2	1	3	1030
0.40249	2	1	3	1030
0.402496	2	1	3	1030
0.402502	2	1	3	1030
0.402508	2	1	3	1030
0.402514	2	1	3	1030
0.40252	2	1	3	1030
0.402526	2	1	3	1030
0.402532	2	1	3	1030
0.402538	2	1	3	1030
0.402544	2	1	3	1030
0.40255	2	1	3	1030
0.402556	2	1	3	1030
0.402562	2	1	3	1030
0.402568	2	1	3	1030
0.402574	2	1	3	1030
0.40258	2	1	3	1030
0.402586	2	1	3	1030
0.402592	2	1	3	1030
0.402598	2	1	3	1030
0.402604	2	1	3	1030
0.40261	2	1	3	1030
0.402616	2	1	3	1030
0.402622	2	1	3	1030
0.402628	2	1	3	1030
0.402634	2	1	3	1030
0.40264	2	1	3	1030
0.402646	2	1	3	1030
0.402652	2	1	3	1030
0.402658	2	1	3	1030
0.402664	2	1	3	1030
0.40267	2	1	3	1030
0.402676	2	1	3	1030
0.402682	2	1	3	1030
0.402688	2	1	3	1030
0.402694	2	1	3	1030
0.4027	2	1	3	1030
0.402706	2	1	3	1030
0.402712	2	1	3	1030
0.402718	2	1	3	1030
0.402724	2	1	3	1030
0.40273	2	1	3	1030
0.402736	2	1	3	1030
0.402742	2	1	3	1030
0.402748	2	1	3	1030
0.402754	2	1	3	1030
0.40276	2	1	3	1030
0.402766	2	1	3	1030
0.402772	2	1	3	1030
0.402778	2	1	3	1030
0.402784	2	1	3	1030
0.40279	2	1	3	1030
0.402796	2	1	3	1030
0.402802	2	1	3	1030
0.402808	2	1	3	1030
0.402814	2	1	3	1030
0.40282	2	1	3	1030
0.402826	2	1	3	1030
0.402832	2	1	3	1030
0.402838	2	1	3	1030
0.402844	2	1	3	1030
0.40285	2	1	3	1030
0.402856	2	1	3	1030
0.402862	2	1	3	1030
0.402868	2	1	3	1030
0.402874	2	1	3	1030
0.40288	2	1	3	1030
0.402886	2	1	3	1030
0.402892	2	1	3	1030
0.402898	2	1	3	1030
0.402904	2	1	3	1030
0.40291	2	1	3	1030
0.402916	2	1	3	1030
0.402922	2	1	3	1030
0.402928	2	1	3	1030
0.402934	2	1	3	1030
0.40294	2	1	3	1030
0.402946	2	1	3	1030
0.402952	2	1	3	1030
0.402958	2	1	3	1030
0.402964	2	1	3	1030
0.40297	2	1	3	1030
0.402976	2	1	3	1030
0.402982	2	1	3	1030
0.402988	2	1	3	1030
0.402994	2	1	3	1030
0.403	2	1	3	1030
0.403006	2	1	3	1030
0.403012	2	1	3	1030
0.403018	2	1	3	1030
0.403024	2	1	3	1030
0.40303	2	1	3	1030
